Cycle 210: Router 0, Element Input Buffer, Flit Flit 1
Cycle 211: Router 0, Element Input Buffer, Flit Flit 1
Cycle 212: Router 0, Element Input Buffer, Flit Flit 1
Cycle 213: Router 0, Element Input Buffer, Flit Flit 1
Cycle 214: Router 0, Element Input Buffer, Flit Flit 1
Cycle 215: Router 0, Element Input Buffer, Flit Flit 1
Cycle 216: Router 0, Element Input Buffer, Flit Flit 1
Cycle 217: Router 0, Element Input Buffer, Flit Flit 1
Cycle 218: Router 0, Element Input Buffer, Flit Flit 1
Cycle 219: Router 0, Element Input Buffer, Flit Flit 1
Cycle 220: Router 0, Element Input Buffer, Flit Flit 1
Cycle 221: Router 0, Element Input Buffer, Flit Flit 1
Cycle 222: Router 0, Element Input Buffer, Flit Flit 1
Cycle 223: Router 0, Element Input Buffer, Flit Flit 1
Cycle 224: Router 0, Element Input Buffer, Flit Flit 1
Cycle 225: Router 0, Element Input Buffer, Flit Flit 1
Cycle 226: Router 0, Element Input Buffer, Flit Flit 1
Cycle 227: Router 0, Element Input Buffer, Flit Flit 1
Cycle 228: Router 0, Element Input Buffer, Flit Flit 1
Cycle 229: Router 0, Element Input Buffer, Flit Flit 1
Cycle 230: Router 0, Element Input Buffer, Flit Flit 1
Cycle 231: Router 0, Element Input Buffer, Flit Flit 1
Cycle 232: Router 0, Element Input Buffer, Flit Flit 1
Cycle 233: Router 0, Element Input Buffer, Flit Flit 1
Cycle 234: Router 0, Element Input Buffer, Flit Flit 1
Cycle 235: Router 0, Element Input Buffer, Flit Flit 1
Cycle 236: Router 0, Element Input Buffer, Flit Flit 1
Cycle 237: Router 0, Element Input Buffer, Flit Flit 1
Cycle 238: Router 0, Element Input Buffer, Flit Flit 1
Cycle 239: Router 0, Element Input Buffer, Flit Flit 1
Cycle 240: Router 0, Element Input Buffer, Flit Flit 1
Cycle 241: Router 0, Element Input Buffer, Flit Flit 1
Cycle 242: Router 0, Element Input Buffer, Flit Flit 1
Cycle 243: Router 0, Element Input Buffer, Flit Flit 1
Cycle 244: Router 0, Element Input Buffer, Flit Flit 1
Cycle 245: Router 0, Element Input Buffer, Flit Flit 1
Cycle 246: Router 0, Element Input Buffer, Flit Flit 1
Cycle 247: Router 0, Element Input Buffer, Flit Flit 1
Cycle 248: Router 0, Element Input Buffer, Flit Flit 1
Cycle 249: Router 0, Element Input Buffer, Flit Flit 1
Cycle 250: Router 0, Element Input Buffer, Flit Flit 1
Cycle 251: Router 0, Element Input Buffer, Flit Flit 1
Cycle 252: Router 0, Element Input Buffer, Flit Flit 1
Cycle 253: Router 0, Element Input Buffer, Flit Flit 1
Cycle 254: Router 0, Element Input Buffer, Flit Flit 1
Cycle 255: Router 0, Element Input Buffer, Flit Flit 1
Cycle 256: Router 0, Element Input Buffer, Flit Flit 1
Cycle 257: Router 0, Element Input Buffer, Flit Flit 1
Cycle 258: Router 0, Element Input Buffer, Flit Flit 1
Cycle 259: Router 0, Element Input Buffer, Flit Flit 1
Cycle 260: Router 0, Element Input Buffer, Flit Flit 1
Cycle 261: Router 0, Element Input Buffer, Flit Flit 1
Cycle 262: Router 0, Element Input Buffer, Flit Flit 1
Cycle 263: Router 0, Element Input Buffer, Flit Flit 1
Cycle 264: Router 0, Element Input Buffer, Flit Flit 1
Cycle 265: Router 0, Element Input Buffer, Flit Flit 1
Cycle 266: Router 0, Element Input Buffer, Flit Flit 1
